pillar,group,ind,indicator,,,,,,,,,
Environment,Emissions & pollution,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,,,,
Environment,Emissions & pollution,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,
Environment,Emissions & pollution,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),,,,,,,,,
Environment,Emissions & pollution,EN.ATM.METH.PC,Methane emissions (metric tons of CO2 equivalent per capita),,,,,,,,,
Environment,Emissions & pollution,EN.ATM.NOXE.PC,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),,,,,,,,,
Environment,Emissions & pollution,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,
Environment,Energy use & security,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),,,,,,,,,
Environment,Energy use & security,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",,,,,,,,,
Environment,Energy use & security,EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2017 PPP GDP),,,,,,,,,
Environment,Energy use & security,EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),,,,,,,,,
Environment,Energy use & security,EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total),,,,,,,,,
Environment,Energy use & security,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),,,,,,,,,
Environment,Energy use & security,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),,,,,,,,,
Environment,Climate risk & resilience,EN.POP.DNST,Population density (people per sq. km of land area),,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.CDDY.XD,Cooling Degree Days,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.HDDY.XD,Heating Degree Days,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.HEAT.XD,Heat Index 35,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.SPEI.XD,Standardised Precipitation-Evapotranspiration Index,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.LTMP.XD,Land Surface Temperature,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.CSTP.XD,Coastal protection,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.WTR.STRS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.WTR.BDYS,Proportion of bodies of water with good ambient water quality,,,,,,,,,
Environment,Food Security,AG.LND.AGRI.ZS,Agricultural land (% of land area),,,,,,,,,
Environment,Food Security,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",,,,,,,,,
Environment,Food Security,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),,,,,,,,,
Environment,Natural capital endowment & management,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI),,,,,,,,,
Environment,Natural capital endowment & management,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI),,,,,,,,,
Environment,Natural capital endowment & management,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,
Environment,Natural capital endowment & management,AG.LND.FRST.ZS,Forest area (% of land area),,,,,,,,,
Environment,Natural capital endowment & management,EN.MAM.THRD.NO,"Mammal species, threatened",,,,,,,,,
Environment,Natural capital endowment & management,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),,,,,,,,,
Environment,Natural capital endowment & management,AG.LND.FRLS.XD,Forest Cover Loss,,,,,,,,,
Social,Access to Services,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),,,,,,,,,
Social,Access to Services,EG.ELC.ACCS.ZS,Access to electricity (% of population),,,,,,,,,
Social,Access to Services,SH.H2O.SMDW.ZS,People using safely managed drinking water services (% of population),,,,,,,,,
Social,Access to Services,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),,,,,,,,,
Social,Demography,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",,,,,,,,,
Social,Demography,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",,,,,,,,,
Social,Demography,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),,,,,,,,,
Social,Education & skills,SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)",,,,,,,,,
Social,Education & skills,SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,
Social,Education & skills,SE.PRM.ENRR,"School enrollment, primary (% gross)",,,,,,,,,
Social,Employment,SL.TLF.0714.ZS,"Children in employment, total (% of children ages 7-14)",,,,,,,,,
Social,Employment,SL.TLF.ACTI.ZS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,,,,,,,,
Social,Employment,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,,,,,,,,
Social,Health & Nutrition,SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,,,,,,
Social,Health & Nutrition,SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",,,,,,,,,
Social,Health & Nutrition,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",,,,,,,,,
Social,Health & Nutrition,SH.STA.OWAD.ZS,Prevalence of overweight (% of adults),,,,,,,,,
Social,Health & Nutrition,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),,,,,,,,,
Social,Poverty & Inequality,SI.SPR.PCAP.ZG,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",,,,,,,,,
Social,Poverty & Inequality,SI.POV.GINI,Gini index,,,,,,,,,
Social,Poverty & Inequality,SI.DST.FRST.20,Income share held by lowest 20%,,,,,,,,,
Social,Poverty & Inequality,SI.POV.NAHC,Poverty headcount ratio at national poverty lines (% of population),,,,,,,,,
Governance,Economic Environment,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,,,,,,,,
Governance,Economic Environment,IT.NET.USER.ZS,Individuals using the Internet (% of population),,,,,,,,,
Governance,Gender,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),,,,,,,,,
Governance,Gender,SL.TLF.CACT.FM.ZS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),,,,,,,,,
Governance,Gender,SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,
Governance,Gender,SP.UWT.TFRT,Unmet need for contraception (% of married women ages 15-49),,,,,,,,,
Governance,Government Effectiveness,GE.EST,Government Effectiveness: Estimate,,,,,,,,,
Governance,Government Effectiveness,RQ.EST,Regulatory Quality: Estimate,,,,,,,,,
Governance,Human Rights,IC.LGL.CRED.XQ,Strength of legal rights index (0=weak to 12=strong),,,,,,,,,
Governance,Human Rights,VA.EST,Voice and Accountability: Estimate,,,,,,,,,
Governance,Human Rights,SG.ESR.XD,Economic and Social Rights Performance Score,,,,,,,,,
Governance,Innovation,IP.PAT.RESD,"Patent applications, residents",,,,,,,,,
Governance,Innovation,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),,,,,,,,,
Governance,Innovation,IP.JRN.ARTC.SC,Scientific and technical journal articles,,,,,,,,,
Governance,Stability & Rule of Law,CC.EST,Control of Corruption: Estimate,,,,,,,,,
Governance,Stability & Rule of Law,SM.POP.NETM,Net migration,,,,,,,,,
Governance,Stability & Rule of Law,PV.EST,Political Stability and Absence of Violence/Terrorism: Estimate,,,,,,,,,
Governance,Stability & Rule of Law,RL.EST,Rule of Law: Estimate,,,,,,,,,
